environment,trigger,premise,hypothesis,predifined_label,human_selection,match
conditional,temporal,If the stranger had shed tears before slitting the envelope%2C the professor could have cast bronze into a statue., The stranger did not slit the envelope.,contradiction,contradiction,1
neg,manner,The student did not shed tears quietly., The student did not shed tears.,contradiction,entailment,0
unembedded,manner,The doctor slit the envelope sadly., The doctor did not slit the envelope.,contradiction,contradiction,1
question,manner,Did the kid hurt others easily?, The kid did not hurt others.,contradiction,entailment,0
question,manner,Did the kid put the book on the shelf slowly?, The kid put the book on the shelf.,entailment,entailment,1
neg,factive,The manager did not forget letting the blinds down., The manager did not let the blinds down.,contradiction,contradiction,1
unembedded,again,The assistant shed tears again., The assistant had not shed tears before.,contradiction,contradiction,1
conditional,manner,If the manager had put the book on the shelf anxiously%2C the dancer could have cast bronze into a statue., The manager put the book on the shelf.,entailment,neutral,0
question,csv,Did the professor finish hitting the ball with the bat?, The professor had not been hitting the ball with the bat.,contradiction,contradiction,1
conditional,again,If the doctor had shed tears again%2C the worker could have bet $100 on the race., The doctor had shed tears before.,entailment,entailment,1
conditional,again,If the girl had hit the ball with the bat again%2C the doctor could have let the blinds down., The girl had hit the ball with the bat before.,entailment,entailment,1
question,again,Did the student put the book on the shelf again?, The student had not put the book on the shelf before.,contradiction,entailment,0
neg,manner,The teacher did not upset the boat calmly., The teacher did not upset the boat.,contradiction,entailment,0
conditional,temporal,If the woman had shut the door after reading the letter%2C the assistant could have split the log., The woman read the letter.,entailment,entailment,1
conditional,factive,If the teacher had remembered casting bronze into a statue%2C the singer would have read the letter., The teacher did not cast bronze into a statue.,contradiction,entailment,0
conditional,temporal,If the singer had burst into the room when hitting the ball with the bat%2C the assistant could have bet $100 on the race., The singer did not hit the ball with the bat.,contradiction,contradiction,1
unembedded,manner,The child burst into the room angrily., The child did not burst into the room.,contradiction,contradiction,1
question,again,Did the boy hit the ball with the bat again?, The boy had not hit the ball with the bat before.,contradiction,entailment,0
unembedded,manner,The doctor slit the envelope sadly., The doctor did not slit the envelope.,contradiction,contradiction,1
unembedded,csv,The manager ceased letting the blinds down., The manager had not been letting the blinds down.,contradiction,contradiction,1
question,manner,Did the manager bet $100 on the race easily?,The manager bet $100 on the race.,entailment,neutral,0
conditional,csv,If the student had ceased casting bronze into a statue%2C the teacher would have set the dish on the table., The student had been casting bronze into a statue.,entailment,entailment,1
unembedded,factive,The athlete regretted upsetting the boat., The athlete upset the boat.,entailment,entailment,1
unembedded,temporal,The girl hurt others while shutting the door., The girl did not shut the door.,contradiction,contradiction,1
unembedded,temporal,The professor hurt others when setting the dish on the table., The professor did not set the dish on the table.,contradiction,contradiction,1
question,temporal,Did the boy hit the ball with the bat while casting bronze into a statue?, The boy did not cast bronze into a statue.,contradiction,contradiction,1
neg,again,The singer did not shed tears again., The singer had shed tears before.,entailment,entailment,1
question,again,Did the student put the book on the shelf again?, The student had not put the book on the shelf before.,contradiction,contradiction,1
neg,manner,The child did not thrust the fork into the cake easily., The child thrust the fork into the cake.,entailment,contradiction,0
